Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,PercentSalaryHike,PerformanceRating,WorkLifeBalance,YearsAtCompany
41,Yes,Travel_Rarely,Sales,1,College,Life Sciences,1,Medium,Female,High,Junior,Sales Executive,Very High,5993,19479,11,Normal,Bad,6
49,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,2,High,Male,Medium,Junior,Research Scientist,Medium,5130,24907,23,Excellent,Better,10
37,Yes,Travel_Rarely,Research & Development,2,College,Other,4,Very High,Male,Medium,Entry,Laboratory Technician,High,2090,2396,15,Normal,Better,0
33,No,Travel_Frequently,Research & Development,3,Master,Life Sciences,5,Very High,Female,High,Entry,Research Scientist,High,2909,23159,11,Normal,Better,8
27,No,Travel_Rarely,Research & Development,2,Below College,Medical,7,Low,Male,High,Entry,Laboratory Technician,Medium,3468,16632,12,Normal,Better,2
32,No,Travel_Frequently,Research & Development,2,College,Life Sciences,8,Very High,Male,High,Entry,Laboratory Technician,Very High,3068,11864,13,Normal,Good,7
59,No,Travel_Rarely,Research & Development,3,Bachelor,Medical,10,High,Female,Very High,Entry,Laboratory Technician,Low,2670,9964,20,Excellent,Good,1
30,No,Travel_Rarely,Research & Development,24,Below College,Life Sciences,11,Very High,Male,High,Entry,Laboratory Technician,High,2693,13335,22,Excellent,Better,1
38,No,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,12,Very High,Male,Medium,Mid,Manufacturing Director,High,9526,8787,21,Excellent,Better,9
36,No,Travel_Rarely,Research & Development,27,Bachelor,Medical,13,High,Male,High,Junior,Healthcare Representative,High,5237,16577,13,Normal,Good,7
35,No,Travel_Rarely,Research & Development,16,Bachelor,Medical,14,Low,Male,Very High,Entry,Laboratory Technician,Medium,2426,16479,13,Normal,Better,5
29,No,Travel_Rarely,Research & Development,15,College,Life Sciences,15,Very High,Female,Medium,Junior,Laboratory Technician,High,4193,12682,12,Normal,Better,9
31,No,Travel_Rarely,Research & Development,26,Below College,Life Sciences,16,Low,Male,High,Entry,Research Scientist,High,2911,15170,17,Normal,Good,5
34,No,Travel_Rarely,Research & Development,19,College,Medical,18,Medium,Male,High,Entry,Laboratory Technician,Very High,2661,8758,11,Normal,Better,2
28,Yes,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,19,High,Male,Medium,Entry,Laboratory Technician,High,2028,12947,14,Normal,Better,4
29,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,20,Medium,Female,Very High,Mid,Manufacturing Director,Low,9980,10195,11,Normal,Better,10
32,No,Travel_Rarely,Research & Development,5,College,Life Sciences,21,Low,Male,Very High,Entry,Research Scientist,Medium,3298,15053,12,Normal,Good,6
22,No,Non-Travel,Research & Development,16,College,Medical,22,Very High,Male,Very High,Entry,Laboratory Technician,Very High,2935,7324,13,Normal,Good,1
53,No,Travel_Rarely,Sales,2,Master,Life Sciences,23,Low,Female,Medium,Senior,Manager,Very High,15427,22021,16,Normal,Better,25
38,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,24,Very High,Male,High,Entry,Research Scientist,Very High,3944,4306,11,Normal,Better,3
24,No,Non-Travel,Research & Development,11,College,Other,26,Low,Female,Very High,Junior,Manufacturing Director,High,4011,8232,18,Normal,Good,4
36,Yes,Travel_Rarely,Sales,9,Master,Life Sciences,27,High,Male,Medium,Entry,Sales Representative,Low,3407,6986,23,Excellent,Better,5
34,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,28,Low,Female,High,Mid,Research Director,Medium,11994,21293,11,Normal,Better,12
21,No,Travel_Rarely,Research & Development,15,College,Life Sciences,30,High,Male,High,Entry,Research Scientist,Very High,1232,19281,14,Normal,Better,0
34,Yes,Travel_Rarely,Research & Development,6,Below College,Medical,31,Medium,Male,High,Entry,Research Scientist,Low,2960,17102,11,Normal,Better,4
53,No,Travel_Rarely,Research & Development,5,Bachelor,Other,32,High,Female,High,Executive,Manager,High,19094,10735,11,Normal,Good,14
32,Yes,Travel_Frequently,Research & Development,16,Below College,Life Sciences,33,Medium,Female,Low,Entry,Research Scientist,Low,3919,4681,22,Excellent,Better,10
42,No,Travel_Rarely,Sales,8,Master,Marketing,35,High,Male,High,Junior,Sales Executive,Medium,6825,21173,11,Normal,Better,9
44,No,Travel_Rarely,Research & Development,7,Master,Medical,36,Low,Female,Medium,Mid,Healthcare Representative,Very High,10248,2094,14,Normal,Better,22
46,No,Travel_Rarely,Sales,2,Master,Marketing,38,Medium,Female,High,Executive,Manager,Low,18947,22822,12,Normal,Good,2
33,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,39,High,Male,High,Entry,Laboratory Technician,Very High,2496,6670,11,Normal,Better,1
44,No,Travel_Rarely,Research & Development,10,Master,Other,40,Very High,Male,High,Junior,Healthcare Representative,Very High,6465,19121,13,Normal,Best,4
30,No,Travel_Rarely,Research & Development,9,College,Medical,41,Very High,Male,Medium,Entry,Laboratory Technician,High,2206,16117,13,Normal,Better,10
39,Yes,Travel_Rarely,Sales,5,Bachelor,Technical Degree,42,Very High,Male,High,Junior,Sales Representative,Very High,2086,3335,14,Normal,Best,1
24,Yes,Travel_Rarely,Research & Development,1,Bachelor,Medical,45,Medium,Male,High,Entry,Research Scientist,Very High,2293,3020,16,Normal,Good,2
43,No,Travel_Rarely,Research & Development,2,College,Medical,46,Very High,Female,Very High,Entry,Research Scientist,High,2645,21923,12,Normal,Good,5
50,Yes,Travel_Rarely,Sales,3,College,Marketing,47,Low,Male,Medium,Entry,Sales Representative,High,2683,3810,14,Normal,Better,3
35,No,Travel_Rarely,Sales,2,Bachelor,Marketing,49,Very High,Female,High,Entry,Sales Representative,Very High,2014,9687,13,Normal,Better,2
36,No,Travel_Rarely,Research & Development,5,Master,Life Sciences,51,Medium,Female,Medium,Entry,Research Scientist,Low,3419,13072,14,Normal,Best,1
33,No,Travel_Frequently,Sales,1,Bachelor,Life Sciences,52,High,Female,Very High,Junior,Sales Executive,Low,5376,3193,19,Normal,Better,5
35,No,Travel_Rarely,Research & Development,4,College,Other,53,High,Male,High,Entry,Laboratory Technician,Very High,1951,10910,12,Normal,Better,1
27,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,54,Very High,Female,High,Entry,Laboratory Technician,Low,2341,19715,13,Normal,Better,1
26,Yes,Travel_Rarely,Research & Development,25,Bachelor,Life Sciences,55,Low,Male,Low,Entry,Laboratory Technician,High,2293,10558,12,Normal,Good,1
27,No,Travel_Frequently,Sales,8,Bachelor,Life Sciences,56,Very High,Male,High,Mid,Sales Executive,High,8726,2975,15,Normal,Better,9
30,No,Travel_Frequently,Research & Development,1,College,Medical,57,High,Female,High,Junior,Laboratory Technician,Very High,4011,10781,23,Excellent,Better,12
41,Yes,Travel_Rarely,Research & Development,12,Bachelor,Technical Degree,58,Medium,Female,High,Executive,Research Director,High,19545,16280,12,Normal,Better,22
34,No,Non-Travel,Sales,23,Master,Marketing,60,Medium,Male,High,Junior,Sales Executive,High,4568,10034,20,Excellent,Better,9
37,No,Travel_Rarely,Research & Development,19,College,Life Sciences,61,Medium,Male,High,Entry,Research Scientist,Medium,3022,10227,21,Excellent,Better,1
46,No,Travel_Frequently,Sales,5,Master,Marketing,62,Low,Male,High,Junior,Sales Executive,Very High,5772,20445,21,Excellent,Better,9
35,No,Travel_Rarely,Research & Development,8,Below College,Life Sciences,63,Very High,Male,Very High,Entry,Laboratory Technician,Very High,2269,4892,19,Normal,Better,1
48,Yes,Travel_Rarely,Research & Development,1,College,Life Sciences,64,Low,Male,Medium,Mid,Laboratory Technician,High,5381,19294,13,Normal,Better,1
28,Yes,Travel_Rarely,Research & Development,5,Master,Technical Degree,65,High,Male,High,Entry,Laboratory Technician,High,3441,11179,13,Normal,Good,2
44,No,Travel_Rarely,Sales,1,Doctor,Marketing,68,Medium,Female,High,Junior,Sales Executive,Low,5454,4009,21,Excellent,Good,4
35,No,Non-Travel,Research & Development,11,College,Medical,70,High,Male,Medium,Mid,Healthcare Representative,Low,9884,8302,13,Normal,Better,4
26,No,Travel_Rarely,Sales,23,Bachelor,Marketing,72,High,Female,Medium,Junior,Sales Executive,Very High,4157,21436,19,Normal,Good,2
33,No,Travel_Frequently,Research & Development,1,College,Life Sciences,73,Low,Female,High,Mid,Research Director,Very High,13458,15146,12,Normal,Better,15
35,No,Travel_Frequently,Sales,18,Doctor,Life Sciences,74,Medium,Male,High,Mid,Sales Executive,Low,9069,11031,22,Excellent,Good,9
35,No,Travel_Rarely,Research & Development,23,Master,Medical,75,High,Female,High,Entry,Laboratory Technician,Low,4014,16002,15,Normal,Better,2
31,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,76,Very High,Male,High,Junior,Laboratory Technician,Very High,5915,9528,22,Excellent,Good,7
37,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,77,Low,Male,Medium,Junior,Manufacturing Director,High,5993,2689,18,Normal,Best,7
32,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,78,Low,Male,High,Junior,Manufacturing Director,Very High,6162,10877,22,Excellent,Better,9
38,No,Travel_Frequently,Research & Development,29,Doctor,Life Sciences,79,Very High,Female,High,Junior,Laboratory Technician,Very High,2406,5456,11,Normal,Better,10
50,No,Travel_Rarely,Research & Development,7,College,Medical,80,Medium,Female,Medium,Executive,Research Director,High,18740,16701,12,Normal,Good,27
59,No,Travel_Rarely,Sales,25,Bachelor,Life Sciences,81,Low,Female,High,Mid,Sales Executive,Low,7637,2354,11,Normal,Good,21
36,No,Travel_Rarely,Research & Development,8,Bachelor,Technical Degree,83,High,Female,High,Mid,Healthcare Representative,High,10096,8202,13,Normal,Better,17
55,No,Travel_Rarely,Research & Development,8,Bachelor,Medical,84,Very High,Female,High,Senior,Manager,High,14756,19730,14,Normal,Better,5
36,No,Travel_Frequently,Research & Development,11,Bachelor,Life Sciences,85,Medium,Male,Medium,Junior,Manufacturing Director,Medium,6499,22656,13,Normal,Better,6
45,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,86,Medium,Male,High,Mid,Research Scientist,Low,9724,18787,17,Normal,Better,1
35,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,88,Medium,Male,High,Entry,Research Scientist,Low,2194,5868,13,Normal,Good,3
36,Yes,Travel_Rarely,Research & Development,9,Bachelor,Medical,90,Very High,Male,Medium,Entry,Research Scientist,High,3388,21777,17,Normal,Good,1
59,No,Travel_Frequently,Sales,1,Below College,Life Sciences,91,Low,Female,Medium,Junior,Sales Executive,High,5473,24668,11,Normal,Good,4
29,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,94,High,Male,High,Entry,Research Scientist,Medium,2703,4956,23,Excellent,Better,5
31,No,Travel_Rarely,Research & Development,1,Master,Medical,95,High,Male,High,Entry,Research Scientist,Medium,2501,18775,17,Normal,Better,1
32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,96,Medium,Male,High,Junior,Research Scientist,Medium,6220,7346,17,Normal,Better,10
36,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,97,Medium,Female,Very High,Entry,Laboratory Technician,Very High,3038,22002,12,Normal,Better,1
31,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,98,High,Female,High,Junior,Manufacturing Director,Very High,4424,20682,23,Excellent,Better,11
35,No,Travel_Rarely,Sales,1,Master,Marketing,100,High,Male,Medium,Junior,Sales Executive,Low,4312,23016,14,Normal,Better,15
45,No,Travel_Rarely,Research & Development,6,Master,Other,101,Very High,Male,High,Mid,Research Director,Low,13245,15067,14,Normal,Best,0
37,No,Travel_Rarely,Research & Development,7,Master,Medical,102,Low,Male,High,Mid,Research Director,High,13664,25258,13,Normal,Best,5
46,No,Travel_Rarely,Human Resources,5,College,Medical,103,Medium,Male,High,Junior,Human Resources,Medium,5021,10425,22,Excellent,Better,4
30,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,104,Very High,Male,Medium,Junior,Laboratory Technician,Very High,5126,15998,12,Normal,Good,10
35,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,105,Medium,Male,Medium,Entry,Research Scientist,High,2859,26278,18,Normal,Better,6
55,No,Travel_Rarely,Sales,1,College,Life Sciences,106,Low,Male,High,Mid,Sales Executive,Very High,10239,18092,14,Normal,Better,1
38,No,Non-Travel,Research & Development,6,Bachelor,Medical,107,Medium,Female,Low,Junior,Research Scientist,Very High,5329,15717,12,Normal,Better,13
34,No,Travel_Rarely,Research & Development,1,College,Medical,110,Low,Male,High,Junior,Manufacturing Director,Medium,4325,17736,15,Normal,Better,5
56,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,112,Very High,Male,Low,Mid,Manufacturing Director,Very High,7260,21698,11,Normal,Good,6
23,No,Travel_Rarely,Sales,2,Below College,Technical Degree,113,High,Male,High,Entry,Sales Representative,Low,2322,9518,13,Normal,Better,0
51,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,116,Very High,Male,High,Entry,Laboratory Technician,Very High,2075,18725,23,Excellent,Better,4
30,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,117,High,Male,Medium,Junior,Healthcare Representative,Very High,4152,15830,19,Normal,Better,11
46,Yes,Travel_Rarely,Sales,9,College,Medical,118,High,Male,Medium,Mid,Sales Executive,Very High,9619,13596,16,Normal,Better,9
40,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,119,High,Male,Medium,Senior,Healthcare Representative,Medium,13503,14115,22,Excellent,Good,22
51,No,Travel_Rarely,Sales,21,Master,Marketing,120,High,Male,High,Junior,Sales Executive,Very High,5441,8423,22,Excellent,Bad,10
30,No,Travel_Rarely,Sales,4,College,Medical,121,High,Female,Medium,Junior,Sales Executive,Medium,5209,19760,12,Normal,Good,11
46,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,124,High,Male,Medium,Mid,Healthcare Representative,Low,10673,3142,13,Normal,Good,10
32,No,Travel_Rarely,Sales,6,Master,Medical,125,Medium,Male,High,Junior,Sales Executive,High,5010,24301,16,Normal,Better,11
54,No,Travel_Rarely,Research & Development,2,Master,Technical Degree,126,Low,Female,High,Mid,Research Director,High,13549,24001,12,Normal,Bad,4
24,No,Travel_Rarely,Sales,3,College,Other,128,Low,Female,High,Junior,Sales Executive,High,4999,17519,21,Excellent,Good,3
28,No,Non-Travel,Sales,4,Bachelor,Medical,129,Medium,Male,High,Junior,Sales Executive,High,4221,8863,15,Normal,Best,5
